acc_pitch,acc_roll,acc_yaw,gyro_pitch,gyro_roll,gyro_yaw,magno_pitch,magno_roll,magno_yaw,y
19.15,-28.26,-42.86,21.01,36.7,-41.81,12.47,3.53,-44.31,4
1.52,-9.61,-44.99,-19.64,1.93,-43.28,12.51,4.55,-44.31,4
0.74,0.74,-45.0,-0.1,-0.1,-0.1,13.73,4.98,-44.16,4
0.74,0.59,-45.0,-0.1,-0.1,-0.1,13.77,4.94,-44.16,4
0.74,0.59,-45.0,-0.1,-0.1,-0.1,13.77,4.94,-44.16,4
0.74,0.59,-45.0,-0.1,-0.1,-0.1,13.77,4.94,-44.16,4
0.74,0.59,-45.0,-0.1,-0.1,-0.1,13.77,4.94,-44.16,4
0.74,0.59,-45.0,-0.1,-0.1,-0.1,13.78,4.94,-44.16,4
19.8,-15.62,-43.11,-63.55,24.56,9.97,11.65,5.38,-44.4,4
0.88,0.74,-45.0,-0.0,4.09,45.0,9.5,6.88,-44.6,4
0.88,0.59,-45.0,-0.1,-0.1,-0.1,9.58,7.47,-44.59,4
0.88,0.59,-45.0,-0.1,-0.1,-0.1,9.67,7.4,-44.58,4
0.88,0.74,-45.0,-0.1,-0.1,-0.1,9.58,7.05,-44.59,4
0.88,0.74,-45.0,-0.1,-0.1,-0.1,10.28,6.87,-44.53,4
0.88,0.74,-45.0,-0.1,-0.1,-0.1,9.48,7.12,-44.6,4
0.88,0.74,-45.0,-0.1,-0.1,-0.1,9.0,7.24,-44.64,4
0.88,0.74,-45.0,-0.1,-0.1,-0.1,9.65,6.99,-44.59,4
0.88,0.74,-45.0,-0.1,-0.1,-0.1,9.66,6.96,-44.58,4
0.88,0.74,-45.0,-0.1,-0.1,-0.1,9.65,6.98,-44.59,4
0.88,0.74,-45.0,-0.1,-0.1,-0.1,9.5,7.08,-44.6,4
0.88,0.74,-45.0,-0.1,-0.1,-0.1,9.22,7.16,-44.62,4
0.59,0.29,-45.0,0.0,-0.0,-45.0,8.82,6.25,-44.65,4
0.59,0.15,-45.0,-0.1,-0.1,-0.1,8.65,6.02,-44.67,4
0.59,0.15,-45.0,-0.1,-0.1,-0.1,8.66,6.02,-44.67,4
0.74,0.15,-45.0,-0.1,-0.1,-0.1,8.81,6.06,-44.66,4
0.74,0.15,-45.0,-0.1,-0.1,-0.1,8.63,5.98,-44.67,4
0.59,0.15,-45.0,-0.1,-0.1,-0.1,8.87,5.44,-44.65,4
0.59,0.15,-45.0,-0.1,-0.1,-0.1,8.87,5.46,-44.65,4
0.59,0.15,-45.0,-0.1,-0.1,-0.1,8.87,5.46,-44.65,4
0.59,0.15,-45.0,-0.1,-0.1,-0.1,8.86,5.44,-44.65,4
0.59,0.15,-45.0,-0.1,-0.1,-0.1,8.97,5.5,-44.64,4
0.59,0.29,-45.0,-0.1,-0.1,-0.1,9.11,5.7,-44.63,4
0.59,0.29,-45.0,-0.1,-0.1,-0.1,9.08,5.66,-44.63,4
0.59,0.15,-45.0,-0.1,-0.1,-0.1,9.09,5.66,-44.63,4
17.04,15.36,-43.61,-18.96,18.96,43.2,14.27,5.96,-44.09,4
0.29,0.59,-45.0,-0.1,-0.1,-0.1,15.44,7.68,-43.93,4
0.44,0.59,-45.0,-0.1,-0.1,-0.1,14.58,7.4,-44.05,4
0.44,0.88,-45.0,-0.1,-0.1,-0.1,14.53,7.72,-44.05,4
0.29,0.44,-45.0,-0.1,-0.1,-0.1,14.19,8.13,-44.09,2
0.29,0.59,-45.0,-0.1,-0.1,-0.1,14.2,8.13,-44.09,2
0.44,0.44,-45.0,-0.1,-0.1,-0.1,14.5,7.6,-44.06,2
0.44,0.44,-45.0,-0.1,-0.1,-0.1,14.5,7.59,-44.06,2
0.44,0.44,-45.0,-0.1,-0.1,-0.1,14.5,7.59,-44.06,2
0.44,0.44,-45.0,-0.1,-0.1,-0.1,14.5,7.59,-44.06,2
0.3,0.74,-45.0,-0.1,-0.1,-0.1,14.43,7.64,-44.06,2
0.3,0.89,-45.0,-0.1,-0.1,-0.1,14.41,7.64,-44.07,2
0.15,0.89,-45.0,-0.1,-0.1,-0.1,14.4,7.64,-44.07,2
0.15,0.89,-45.0,-0.1,-0.1,-0.1,14.39,7.63,-44.07,2
0.15,1.04,-45.0,-0.1,-0.1,-0.1,14.39,7.64,-44.07,2
0.15,1.04,-45.0,-0.1,-0.1,-0.1,14.38,7.64,-44.07,2
